,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_num_leaves,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
18,0.46042442321777344,0.10760826008120218,0.0556483268737793,0.013157411835220121,0.05,3,100,"{'learning_rate': 0.05, 'max_depth': 3, 'num_leaves': 100}",0.20262282504659113,0.2528777981045961,0.2725275073981389,0.2945344743759325,0.3237361422339061,0.26925974943183295,0.04080689980055924,29
19,0.45541157722473147,0.10405907051432484,0.05394325256347656,0.01247692376641689,0.05,3,150,"{'learning_rate': 0.05, 'max_depth': 3, 'num_leaves': 150}",0.20262282504659113,0.2528777981045961,0.2725275073981389,0.2945344743759325,0.3237361422339061,0.26925974943183295,0.04080689980055924,29
20,0.6577500820159912,0.320663932108822,0.07610230445861817,0.030275618744649242,0.05,5,10,"{'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 10}",0.2650702097925892,0.2915378091551837,0.2932931958239292,0.4097620268241734,0.3825815368163111,0.3284489556824373,0.05684606846294979,24
21,1.3504923343658448,0.5314067794138067,0.11390304565429688,0.03451069590256998,0.05,5,40,"{'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 40}",0.26266228979250794,0.35905731234114824,0.30864673752700555,0.39874667839928324,0.3740137396788674,0.3406253515477625,0.048853824883228356,21
22,1.387892198562622,0.5075897723636295,0.11681060791015625,0.04609564560690548,0.05,5,100,"{'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 100}",0.26266228979250794,0.35905731234114824,0.30864673752700555,0.39874667839928324,0.3740137396788674,0.3406253515477625,0.048853824883228356,21
23,1.3502917766571045,0.5644869715120369,0.11380276679992676,0.042308386454355605,0.05,5,150,"{'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 150}",0.26266228979250794,0.35905731234114824,0.30864673752700555,0.39874667839928324,0.3740137396788674,0.3406253515477625,0.048853824883228356,21
24,0.5792408943176269,0.2560500986148202,0.059959936141967776,0.015028549861158055,0.05,8,10,"{'learning_rate': 0.05, 'max_depth': 8, 'num_leaves': 10}",0.34906447483585784,0.3109747629732449,0.298039230083358,0.432358824344637,0.36650273979577797,0.35138800640657514,0.04747515034611651,17
25,1.9199074745178222,0.7082500742902693,0.15511250495910645,0.05303578093535666,0.05,8,40,"{'learning_rate': 0.05, 'max_depth': 8, 'num_leaves': 40}",0.3600864878324085,0.37034195133185777,0.32806604972499587,0.4832354476022993,0.40202171350543114,0.3887503299993985,0.052814076142562845,8
26,2.6754167079925537,0.7499283154681327,0.17155728340148926,0.03784244536305165,0.05,8,100,"{'learning_rate': 0.05, 'max_depth': 8, 'num_leaves': 100}",0.3444593592107179,0.37141851206332566,0.33432447578585067,0.4582420554133759,0.40989873083051664,0.38366862666075735,0.04554446580620479,9
27,3.1267166137695312,0.7501015550975536,0.20133595466613768,0.04590726453191612,0.05,8,150,"{'learning_rate': 0.05, 'max_depth': 8, 'num_leaves': 150}",0.3496874266707879,0.3576673185499215,0.3280882478208832,0.4668082132362723,0.3951683334236261,0.37948390794029824,0.048737753838168536,12
28,0.7269334316253662,0.21803100223986846,0.06437168121337891,0.014624966496515814,0.05,10,10,"{'learning_rate': 0.05, 'max_depth': 10, 'num_leaves': 10}",0.37035449078100696,0.3156508862022094,0.3184016804505977,0.42545161444299673,0.3655815926265616,0.35908805290067447,0.040287440562044315,16
29,1.5130245685577393,0.6789538819344872,0.10518002510070801,0.03839731411399469,0.05,10,40,"{'learning_rate': 0.05, 'max_depth': 10, 'num_leaves': 40}",0.4031325569287979,0.3664445282412818,0.30511339834570816,0.489192588472376,0.40779419798736805,0.3943354539951064,0.05999146893488054,4
30,3.8305896759033202,1.2702667578797233,0.2130671977996826,0.06671125900044243,0.05,10,100,"{'learning_rate': 0.05, 'max_depth': 10, 'num_leaves': 100}",0.37351843733821033,0.3792946441289464,0.318699969079161,0.47784369096451057,0.3949814935042574,0.3888676470030171,0.051390386580887897,7
31,3.9973337173461916,1.3221025931628008,0.20474419593811036,0.06961339879838666,0.05,10,150,"{'learning_rate': 0.05, 'max_depth': 10, 'num_leaves': 150}",0.3553045014203538,0.38557917085652693,0.3074733194122319,0.4660339510690714,0.403891047470058,0.3836563980456484,0.05254881701247822,10
